Date,High,Low,Open,Close,Volume,Adj Close,moving_average,symbol,name,description
2018-10-05,74.19999694824219,66.16999816894531,70.0,70.0,7172900,70.0,70.0,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-08,73.4000015258789,64.0,73.0,65.94000244140625,983700,65.94000244140625,67.97000122070312,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-09,68.0,62.56999969482422,65.58999633789062,66.44999694824219,370400,66.44999694824219,67.46333312988281,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-10,66.0,60.61000061035156,65.61000061035156,62.5,479600,62.5,66.22249984741211,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-11,63.25,58.54999923706055,62.43000030517578,60.869998931884766,751100,60.869998931884766,65.15199966430664,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-12,64.0,61.060001373291016,63.0,62.68000030517578,178000,62.68000030517578,64.73999977111816,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-15,63.939998626708984,59.38999938964844,63.0,60.939998626708984,239500,60.939998626708984,64.19714246477399,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-16,65.43000030517578,61.0,62.04999923706055,65.33000183105469,337900,65.33000183105469,64.33874988555908,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-17,70.05999755859375,64.37000274658203,66.0,69.88999938964844,185300,69.88999938964844,64.95555538601346,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-18,70.66000366210938,66.9800033569336,69.9000015258789,67.48999786376953,137200,67.48999786376953,65.20899963378906,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-19,67.41999816894531,64.25,67.22000122070312,64.45999908447266,201900,64.45999908447266,65.1409086747603,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-22,65.4800033569336,62.209999084472656,64.47000122070312,63.77000045776367,126800,63.77000045776367,65.02666632334392,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-23,64.80000305175781,58.880001068115234,62.9900016784668,63.560001373291016,359900,63.560001373291016,64.91384594257062,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-24,64.19999694824219,60.849998474121094,63.290000915527344,60.95000076293945,139000,60.95000076293945,64.63071414402553,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-25,63.54999923706055,61.0,61.029998779296875,61.849998474121094,114500,61.849998474121094,64.44533309936523,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-26,62.58000183105469,59.099998474121094,61.13999938964844,60.52000045776367,102700,60.52000045776367,64.19999980926514,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-29,62.560001373291016,60.0099983215332,61.40999984741211,62.439998626708984,121300,62.439998626708984,64.0964703279383,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
2018-10-30,68.68000030517578,61.060001373291016,62.91999816894531,67.9800033569336,308600,67.9800033569336,64.31222216288249,ESTC,Elastic NV,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java."
