Date,High,Low,Open,Close,Volume,Adj Close,moving_average,symbol,name,description
2018-07-11,321.94000244140625,315.07000732421875,315.79998779296875,318.9599914550781,4884100,318.9599914550781,309.01050059000653,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-12,323.2300109863281,312.7699890136719,321.42999267578125,316.7099914550781,5721200,316.7099914550781,309.4941670735677,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-13,319.5799865722656,309.25,315.5799865722656,318.8699951171875,5869800,318.8699951171875,309.9195002237956,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-16,315.1600036621094,306.25,311.7099914550781,310.1000061035156,7818700,310.1000061035156,310.0865005493164,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-17,324.739990234375,308.5,308.80999755859375,322.69000244140625,6996200,322.69000244140625,310.62733408610023,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-18,325.5,316.25,325.0,323.8500061035156,5624200,323.8500061035156,311.3020009358724,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-19,323.5400085449219,314.010009765625,316.3299865722656,320.2300109863281,5915300,320.2300109863281,311.9148345947266,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-20,323.239990234375,311.7099914550781,321.2300109863281,313.5799865722656,5162200,313.5799865722656,312.46300099690757,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-23,305.5,292.8599853515625,301.8399963378906,303.20001220703125,10992900,303.20001220703125,312.7583343505859,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
2018-07-24,307.7200012207031,292.54998779296875,304.4200134277344,297.42999267578125,9590800,297.42999267578125,312.81416778564454,TSLA,"Tesla, Inc.","Tesla, Inc. (formerly Tesla Motors, Inc.), is an American electric vehicle and clean energy company based in Palo Alto, California."
